Klassifikation der Berufe, Ausgabe 2010;
Dateiinhalt: Stichwörter;
Sprache: Deutsch;
Letzte Aktualisierung der Stichwörter: 14.02.2019 10:15:38 (GMT+0100);
Weitere Informationen: https://www.klassifikationsserver.de/;
Copyright: © Bundesagentur für Arbeit  Der Inhalt unterliegt urheberrechtlichem Schutz. Für nichtgewerbliche Zwecke sind Vervielfältigung und unentgeltliche Verbreitung, auch auszugsweise, mit genauer Quellenangabe gestattet. Die Verbreitung, auch auszugsweise, über elektronische Systeme/Datenträger bedarf der vorherigen Zustimmung. Alle übrigen Rechte vorbehalten.;
Eigentümer: Herausgeber: Bundesagentur für Arbeit, Nürnberg  Statistik der Bundesagentur für Arbeit, Zentraler Statistik-Service: Tel.: 0911/179-2264, -1089,  E-Mail:service-haus.statistik-dkt@arbeitsagentur.de;
Stichwort;Schlüssel KldB 2010
3-D-Designer/in;23223
Aalbrutzüchter/in;11412
Aalfischer/in;11422
Aalräucherer/-räucherin;29242
Abbauhauer/in;21112
Abbeizer/in (Dekapierer/in);24301
Abbrecher/in (Druckerei);23411
Abbrenner/in;24411
Abbrucharbeiter/in;32101
Abdämmer/in (Bergbau);21112
Abdämmer/in (Isolierarbeiten);33312
Abdichter/in (Dachdeckerei);33232
Abdichtungspolier/in (Bauwerks- und Asphaltabdichtung);33393
Abdreher/in (Metalldreher/in);24232
Abfallbeauftragte/r;42324
Abfallberater/in;42313
Abfallbeseitiger/in;34332
Abfallholzsäger/in;22322
Abfallsammler/in;34301
Abfallsortierer/in;34301
Abfalltechniker/in;34333
Abfalltechniker/in in Schulung, Einweisung, Fortbildung;84483
Abfallwirtschaftsberater/in;42313
Abfallwirtschaftsingenieur/in;34334
Abfertigungsbeamt(er/in) - Zoll (mittl. Dienst);73242
Abfluglotse/-lotsin;51533
Abfüller/in;51311
Abfüllmaschinenbediener/in;51311
Abfüllmaschineneinsteller/in;25122
Abgastester/in;25212
Abgeordnete/r;71214
Abgeordnetenassistent/in;71402
Abgleicher/in (Elektro);26382
Abgleicher/in (Nachrichtentechnik);26312
Abgrater/in (Gussputzer/in);24222
Abiturientenberater/in;71524
Abkantpresser/in;24212
Ablader/in;51311
Ablänger/in (Holz);22301
Ablänger/in (Metallverarbeitung);24212
Ablauforganisator/in;71314
Ableger/in;71401
Ableser/in (Gas, Strom, Wasser);25131
Ablieferer/Ablieferin;51321
Abmelkstallbesitzer/in;11212
Abnahmefahrer/in;52182
Abnahmeinspektor/in;27312
Abnahmekontrolleur/in;27312
Abnahmelokomotivführer/in;52202
